NAME,Population,Households,Receipt of SNAP,Public Assist,ZIP,city,county,pop
ZCTA5 97601,23020,10107,2654,2750,97601,Klamath Falls,Klamath,22726
ZCTA5 97818,4352,1433,272,280,97818,Boardman,Morrow,4244
ZCTA5 97639,479,177,85,101,97639,Sprague River,Klamath,659
ZCTA5 97712,65,20,0,0,97712,Brothers,Deschutes,86
ZCTA5 97753,2594,1021,111,148,97753,Powell Butte,Crook,2570
ZCTA5 97869,944,448,79,85,97869,Prairie City,Grant,930
ZCTA5 97877,334,203,36,36,97877,Sumpter,Baker,282
ZCTA5 97870,644,318,13,13,97870,Richland,Baker,798
ZCTA5 97828,3135,1429,198,203,97828,Enterprise,Wallowa,3162
ZCTA5 97016,6329,2615,442,450,97016,Clatskanie,Columbia,6224
ZCTA5 97267,33250,13886,1520,1566,97267,Portland,Clackamas,33636
ZCTA5 97461,823,372,73,73,97461,Noti,Lane,834
ZCTA5 97884,103,62,4,5,97884,Unity,Baker,129
ZCTA5 97449,1955,1004,144,144,97449,Lakeside,Coos,2170
ZCTA5 97501,47160,18685,4909,4918,97501,Medford,Jackson,45993
ZCTA5 97531,307,134,0,0,97531,Kerby,Josephine,578
ZCTA5 97627,558,206,7,7,97627,Keno,Klamath,638
