NAME,Population,Households,Receipt of SNAP,state,ZIP,Percent SNAP
ZCTA5 97042,2964,1086,105,41,97042,9.6685
ZCTA5 97049,1647,672,82,41,97049,12.2024
ZCTA5 97054,1541,580,84,41,97054,14.4828
ZCTA5 97118,797,335,72,41,97118,21.4925
ZCTA5 97141,14035,5347,1188,41,97141,22.2181
ZCTA5 97149,721,345,6,41,97149,1.7391
ZCTA5 97201,17993,9180,1035,41,97201,11.2745
ZCTA5 97216,16965,6652,1204,41,97216,18.0998
ZCTA5 97331,2865,0,0,41,97331,
ZCTA5 97358,2488,1053,120,41,97358,11.396
ZCTA5 97034,18656,7771,184,41,97034,2.3678
ZCTA5 97048,7756,2704,545,41,97048,20.1553
ZCTA5 97056,11678,4627,619,41,97056,13.378
ZCTA5 97080,44335,15399,1748,41,97080,11.3514
ZCTA5 97103,17677,7380,1019,41,97103,13.8076
ZCTA5 97110,1166,505,128,41,97110,25.3465
